open_time,close_time,symbol,direction,entry,stop,tp1,tp2,tp3,tp4,tp5,exit_price,qty,pnl_pct,pnl_dollars,r_multiple,hit_level,score,mom_z,session_mom,vol_regime_score,regime,regime_confidence
2026-09-15 05:49:55 UTC,2026-09-15 14:24:06 UTC,SI=F,SHORT,63.626799,64.396086,63.242155,62.857512,62.472868,62.088225,61.318938,63.626799,12.999048,0.0,0.0,0.0,STOP after TP1,-2.092,-3.61,-0.41,0,NEUTRAL,0.7
2026-09-15 09:09:08 UTC,2026-09-15 18:21:30 UTC,GC=F,SHORT,4305.251648,4335.12309,4290.315926,4275.380205,4260.444484,4245.508764000001,4215.637322000001,4335.12309,0.334768,-0.69,-9.99999953938105,-1.0,STOP,-2.458,-3.73,-0.3,0,BULLISH,1.0
2026-09-15 14:24:17 UTC,2026-09-16 21:30:27 UTC,SI=F,LONG,64.042959,63.347959,64.39046,64.73796,65.08546,65.43295899999998,66.12795899999998,64.39046,14.388484,0.54,5.000006659280182,0.5,STOP after TP2,1.914,3.29,0.07,0,BULLISH,1.0
2026-09-16 13:59:48 UTC,2026-09-16 21:30:28 UTC,GC=F,LONG,4381.508345,4349.551384,4397.486826,4413.465307,4429.443787,4445.422267,4477.379228,4349.551384,0.312921,-0.73,-10.000033565671506,-1.0,STOP,2.096,3.41,0.04,0,BULLISH,1.0
2026-09-16 21:30:39 UTC,2026-09-17 15:09:07 UTC,SI=F,SHORT,63.451708,64.578137,62.888494,62.325279,61.762065,61.198850000000014,60.07242100000002,64.578137,8.877613,-1.78,-10.000005921038357,-1.0,STOP,-1.579,-2.57,-1.0,0,BULLISH,1.0
2026-09-17 19:09:41 UTC,2026-09-21 00:23:06 UTC,GC=F,LONG,4388.504845,4346.79035,4409.362093,4430.21934,4451.076588,4471.933835000001,4513.648330000001,4409.362093,0.239725,0.48,4.999983226277903,0.5,STOP after TP2,1.509,2.35,0.38,0,BULLISH,0.0
2026-09-15 23:55:46 UTC,2026-09-21 10:56:15 UTC,NZDUSD=X,SHORT,0.575662,0.57854,0.574223,0.572783,0.571344,0.5699059999999999,0.5670279999999999,0.572783,3474.262783,0.5,10.002397240046989,1.0,STOP after TP3,-1.586,-2.29,-0.08,0,BULLISH,1.0
2026-09-17 15:09:14 UTC,2026-09-21 10:56:15 UTC,SI=F,LONG,66.006981,64.936981,66.541981,67.076981,67.611981,68.14698099999998,69.21698099999998,66.541981,9.345792,0.81,5.000018861641418,0.5,STOP after TP2,1.941,3.44,-0.4,0,BULLISH,1.0
2026-09-21 10:56:24 UTC,2026-09-22 17:53:38 UTC,SI=F,SHORT,66.578271,67.348699,66.193057,65.807842,65.422628,65.03741500000001,64.26698700000001,66.578271,12.979794,0.0,0.0,0.0,STOP after TP1,-2.235,-3.89,-0.46,0,BULLISH,0.0
